age_of_participant,gender,academic_status,field_of_education,do_you_know_about_how_antibiotics_differ_from_other_drugs,pick_the_most_appropriate_definition_of_antibiotics,how_can_you_identify_an_antibiotic,what_is_your_idea_about_the_importance_of_antibiotics,what_is_the_most_dangerous_impact_of_antibiotics,what_is_your_opinion_about_antibiotic_usage,what_is_your_perception_of_drug-resistant_germs,do_you_have_idea_about_antibiotic_resistance_as_a_threat_to_public_health,choose_a_statement_that_you_feel_is_the_best_strategy_to_face_antibiotic-resistance,which_of_the_strategies_have_you_heard_about_against_antibiotic_resistance,what_type_of_movement_on_public_health_issues_do_you_think_will_be_effective_in_setting_malpractices_right,why_do_you_think_public_health_issues_don’t_get_due_importance_in_public_opinion,how_many_antibiotics_have_you_taken_over_the_past_3_years,what_was_the_pattern_of_antibiotic_use,what_was_the_formulation_of_the_product_used,what_was_the_best_experience_with_the_consumption_of_antibiotics,what_was_the_worst_experience_with_the_consumption_of_antibiotics,how_did_you_come_to_consume_the_antibiotic,have_you_experienced_treatment_failure_from_antibiotic_consumption,what_was_your_understanding_of_treatment_failure
22,Male,BS.c,Microbiology,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
21,Male,Honours 2nd year ,Microbiology ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
21,Female,BSc,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,I suspect the quality of the antibiotic was not good 
21,Male,B.sc,Microbiology ,No ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Legal movement by welfare lawyers ,Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
20,Female,BSc,Microbiology ,No ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,HSC ,Computer Science and Engineering,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
20,Female,Honors(2nd year),Social Science ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
19,Female,HSC,Territory ,No ,Medicine used to treat inflammation ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
24,Male,BSC,"JagannathUniversit, Dhaka  ",Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our media is not active in spreading awareness ,None ,,,,,,,
20,Female,HSC passed,Agriculture,Yes ,Medicine used to treat fever ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
23,Male,Honors ,Biological ,Yes ,Medicine used to treat inflammation ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Female,HSC,Microbiology,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t care ,,,,,,,
20,Female,BSc in Oceanography ,University of Dhaka ,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),"Oral, Tablet",I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Quality ,A registered physician prescribed it for the specific symptoms ,Yes ,I suspect the quality of the antibiotic was not good 
21,Male,Higher Secondary ,Chemical Engineering ,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Legal movement by welfare lawyers ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
20,Female,HSC,MBBS ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
22,Female,Bcs in microbiology 4th year running ,Jagannath University ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
20,Female,Hsc,Medical science ,No ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Antibiotics should always be used without consideration of antibiotic resistance ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our media is not active in spreading awareness ,None ,,,,,,,
24,Female,Higher secondary Certificate  ,Microbiology ,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
22,Male,HSC,Microbiology ,Yes ,Medicine used to treat fever ,From the datasheet with the medicine ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
22,Male,Undergraduate,Civil and Environmental Engineering,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
20,Female,HSC,Chemical engineering ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
19,Male,HSC,Computer Science ,Yes ,Medicine used to treat infections ,From name ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,HSC,Physics,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ","Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,Yes ,Doctor couldn’t diagnose the correct problem 
22,Female,Microbiology 4th year ,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
26,Male,Master ,English,No ,Medicine used to treat fever ,From the pharmaceutical composition ,They are the reason hospitalization has been reduced ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
20,Male,Bsc,Textile Engineering Management ,No ,Medicine used to treat viral disease ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
23,Male,Bsc final year ,Microbiology ,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
20,Male,BS.c,CSE,No ,Medicine used to treat fever ,I have no idea ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our media is not active in spreading awareness ,I don’t remember ,,,,,,,
23,Male,Bsc Engineering,Information and Communication Engineering,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I don’t care about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our government does not endorse forming public opinion on public health policies ,None ,,,,,,,
18,Female,BSc,Pharmacy ,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
18,Male,student,textiles,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,None ,,,,,,,
19,Female,Level 1 semester 1,Agriculture ,Yes ,Medicine used to treat infections ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took antibiotics only once (শুধুমাত্র একবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Duration ,A registered physician prescribed it for the specific symptoms ,No ,
23,Female,Graduate ,BDS,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),"Oral, Tablet, Injection","I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A registered physician prescribed it for the specific symptoms ,No ,
19,Male,"Jagannath University , Dhaka,Bangladesh ",BsC honours ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our media is not active in spreading awareness ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
28,Male,B.Sc & M.Sc in Microbiology ,Microbiology ,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our government does not endorse forming public opinion on public health policies ,I don’t remember ,,,,,,,
21,Male,BSc (3rd Year) ,Microbiology,No ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
20,Male,Bsc (eng) first year,Energy Science,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt good that my infection will not spread under antibiotic usage (আমি ভাল অনুভব করেছি যে অ্যান্টিবায়োটিক ব্যবহারের ফলে আমার সংক্রমণ ছড়িয়ে পড়বে না),Side-effects ,A registered physician prescribed it for the specific symptoms ,No ,
21,Female,Student,Microbiology ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
24,Male,Msc,Microbiology,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
26,Male,Studying ( Masters),Pharmacy,Yes ,Medicine used to treat infections ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A non-registered medical professional  recommended (অনিবন্ধিত মেডিকেল পেশাদারের  পরামর্শ অনুযায়ী),No ,
23,Male,B.S.C,Science,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Antibiotics should always be used without consideration of antibiotic resistance ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
20,Male,student,Computer science and engineering,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason hospitalization has been reduced ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,I felt good to take medicines regularly (আমি নিয়মিত ওষুধ সেবন করলে ভাল বোধ করি),Quality ,A registered physician prescribed it for the specific symptoms ,Yes ,Doctor couldn’t diagnose the correct problem 
